"teamId","leagueId","name"
"0","4","Ball State"
"1","0","Illinois State"
"2","4","Bowling Green State"
"3","7","Tulsa"
"4","8","Central Florida"
"5","4","Akron"
"6","1","Fresno State"
"7","8","Rutgers"
"8","2","Indiana"
"9","0","Indiana State"
"10","4","Kent State"
"11","0","Liberty"
"12","7","Middle Tennessee State"
"13","0","Western Carolina"
"14","2","Minnesota"
"15","1","Nevada-Las Vegas"
"16","9","Mississippi"
"17","9","Vanderbilt"
"18","1","San Jose State"
"19","0","Sacramento State"
"20","9","South Carolina"
"21","5","North Carolina"
"22","11","Southern California"
"23","1","Hawaii"
"24","0","Southern Utah"
"25","3","South Alabama"
"26","0","Towson"
"27","8","Connecticut"
"28","7","Tulane"
"29","0","Jackson State"
"30","11","Utah"
"31","1","Utah State"
"32","5","Wake Forest"
"33","0","Presbyterian"
"34","11","Arizona"
"35","0","Northern Arizona"
"36","10","Army"
"37","0","Morgan State"
"38","8","Houston"
"39","0","Southern"
"40","5","Miami (FL)"
"41","7","Florida Atlantic"
"42","2","Michigan State"
"43","4","Western Michigan"
"44","0","North Dakota State"
"45","6","Kansas State"
"46","0","Samford"
"47","3","Georgia State"
"48","6","Texas Tech"
"49","8","Southern Methodist"
"50","1","Air Force"
"51","0","Colgate"
"52","9","Alabama"
"53","5","Virginia Tech"
"54","9","Arkansas"
"55","3","Louisiana-Lafayette"
"56","3","Arkansas State"
"57","0","Arkansas-Pine Bluff"
"58","9","Auburn"
"59","11","Washington State"
"60","6","Baylor"
"61","0","Wofford"
"62","5","Boston College"
"63","0","Villanova"
"64","8","Cincinnati"
"65","2","Purdue"
"66","5","Clemson"
"67","9","Georgia"
"68","5","Duke"
"69","0","North Carolina Central"
"70","7","East Carolina"
"71","0","Old Dominion"
"72","0","Eastern Illinois"
"73","1","San Diego State"
"74","4","Eastern Michigan"
"75","0","Howard"
"76","0","Eastern Washington"
"77","11","Oregon State"
"78","9","Florida"
"79","4","Toledo"
"80","5","Georgia Tech"
"81","0","Elon"
"82","2","Illinois"
"83","0","Southern Illinois"
"84","9","Louisiana State"
"85","6","Texas Christian"
"86","7","Marshall"
"87","4","Miami (OH)"
"88","5","Maryland"
"89","7","Florida International"
"90","0","McNeese State"
"91","8","South Florida"
"92","2","Michigan"
"93","4","Central Michigan"
"94","9","Missouri"
"95","0","Murray State"
"96","2","Nebraska"
"97","1","Wyoming"
"98","5","North Carolina State"
"99","7","Louisiana Tech"
"100","7","North Texas"
"101","10","Idaho"
"102","4","Northern Illinois"
"103","2","Iowa"
"104","0","Northern Iowa"
"105","6","Iowa State"
"106","2","Northwestern"
"107","11","California"
"108","10","Notre Dame"
"109","8","Temple"
"110","2","Ohio State"
"111","4","Buffalo"
"112","6","Oklahoma"
"113","3","Louisiana-Monroe"
"114","6","Oklahoma State"
"115","9","Mississippi State"
"116","11","Oregon"
"117","0","Nicholls State"
"118","2","Penn State"
"119","5","Syracuse"
"120","9","Tennessee"
"121","0","Austin Peay"
"122","6","Texas"
"123","10","New Mexico State"
"124","9","Texas A&M"
"125","7","Rice"
"126","3","Texas State"
"127","7","Southern Mississippi"
"128","7","Texas-San Antonio"
"129","1","New Mexico"
"130","3","Troy"
"131","7","Alabama-Birmingham"
"132","11","UCLA"
"133","1","Nevada"
"134","5","Virginia"
"135","10","Brigham Young"
"136","11","Washington"
"137","1","Boise State"
"138","6","West Virginia"
"139","0","William & Mary"
"140","3","Western Kentucky"
"141","9","Kentucky"
"142","2","Wisconsin"
"143","4","Massachusetts"
"144","11","Colorado"
"145","1","Colorado State"
"146","8","Louisville"
"147","4","Ohio"
"148","5","Florida State"
"149","5","Pittsburgh"
"150","11","Arizona State"
"151","0","James Madison"
"152","0","Tennessee-Martin"
"153","0","Portland State"
"154","0","New Hampshire"
"155","0","Chattanooga"
"156","0","South Carolina State"
"157","0","Central Arkansas"
"158","8","Memphis"
"159","0","Cal Poly"
"160","0","Missouri State"
"161","6","Kansas"
"162","0","South Dakota"
"163","0","Lamar"
"164","0","Grambling State"
"165","0","Eastern Kentucky"
"166","0","Maine"
"167","0","Gardner-Webb"
"168","0","Southeast Missouri State"
"169","0","Alcorn State"
"170","10","Navy"
"171","0","California-Davis"
"172","7","Texas-El Paso"
"173","0","Richmond"
"174","0","Norfolk State"
"175","0","Montana State"
"176","11","Stanford"
"177","0","Sam Houston State"
"178","0","Southeastern Louisiana"
"179","0","Prairie View A&M"
"180","0","Stephen F. Austin"
"181","0","Savannah State"
"182","0","Weber State"
"183","0","Tennessee Tech"
"184","0","Bethune-Cookman"
"185","0","Stony Brook"
"186","0","Northwestern State"
"187","0","Fordham"
"188","0","Youngstown State"
"189","0","Western Illinois"
"190","0","Delaware"
"191","0","Wagner"
"192","0","Northern Colorado"
"193","0","Jacksonville State"
"194","0","South Dakota State"
"195","0","Florida A&M"
"196","0","Virginia Military Institute"
"197","0","Idaho State"
"198","0","Charleston Southern"
"199","0","Furman"
"200","0","Abilene Christian"
"201","0","Alabama State"
"202","0","Appalachian State"
"203","0","Citadel"
"204","0","Georgia Southern"
"205","0","Alabama A&M"
"206","0","Coastal Carolina"
